name,state,genotype,result,probability
hpv,susceptible,hpv16,positive,0
hpv,susceptible,hpv16,negative,1
hpv,susceptible,hpv16,inadequate,0
hpv,susceptible,hpv18,positive,0
hpv,susceptible,hpv18,negative,1
hpv,susceptible,hpv18,inadequate,0
hpv,susceptible,hi5,positive,0
hpv,susceptible,hi5,negative,1
hpv,susceptible,hi5,inadequate,0
hpv,susceptible,hpv45,positive,0
hpv,susceptible,hpv45,negative,1
hpv,susceptible,hpv45,inadequate,0
hpv,susceptible,hi4,positive,0
hpv,susceptible,hi4,negative,1
hpv,susceptible,hi4,inadequate,0
hpv,susceptible,ohr,positive,0
hpv,susceptible,ohr,negative,1
hpv,susceptible,ohr,inadequate,0
hpv,susceptible,hr,positive,0
hpv,susceptible,hr,negative,1
hpv,susceptible,hr,inadequate,0
hpv,susceptible,lr,positive,0
hpv,susceptible,lr,negative,1
hpv,susceptible,lr,inadequate,0
hpv,latent,hpv16,positive,0
hpv,latent,hpv16,negative,1
hpv,latent,hpv16,inadequate,0
hpv,latent,hpv18,positive,0
hpv,latent,hpv18,negative,1
hpv,latent,hpv18,inadequate,0
hpv,latent,hi5,positive,0
hpv,latent,hi5,negative,1
hpv,latent,hi5,inadequate,0
hpv,latent,hpv45,positive,0
hpv,latent,hpv45,negative,1
hpv,latent,hpv45,inadequate,0
hpv,latent,hi4,positive,0
hpv,latent,hi4,negative,1
hpv,latent,hi4,inadequate,0
hpv,latent,ohr,positive,0
hpv,latent,ohr,negative,1
hpv,latent,ohr,inadequate,0
hpv,latent,hr,positive,0
hpv,latent,hr,negative,1
hpv,latent,hr,inadequate,0
hpv,latent,lr,positive,0
hpv,latent,lr,negative,1
hpv,latent,lr,inadequate,0
hpv,precin,hpv16,positive,0.99
hpv,precin,hpv16,negative,0.01
hpv,precin,hpv16,inadequate,0
hpv,precin,hpv18,positive,0.99
hpv,precin,hpv18,negative,0.01
hpv,precin,hpv18,inadequate,0
hpv,precin,hi5,positive,0.99
hpv,precin,hi5,negative,0.01
hpv,precin,hi5,inadequate,0
hpv,precin,hpv45,positive,0.99
hpv,precin,hpv45,negative,0.01
hpv,precin,hpv45,inadequate,0
hpv,precin,hi4,positive,0.99
hpv,precin,hi4,negative,0.01
hpv,precin,hi4,inadequate,0
hpv,precin,ohr,positive,0.99
hpv,precin,ohr,negative,0.01
hpv,precin,ohr,inadequate,0
hpv,precin,hr,positive,0.99
hpv,precin,hr,negative,0.01
hpv,precin,hr,inadequate,0
hpv,precin,lr,positive,0.99
hpv,precin,lr,negative,0.01
hpv,precin,lr,inadequate,0
hpv,cin,hpv16,positive,0.99
hpv,cin,hpv16,negative,0.01
hpv,cin,hpv16,inadequate,0
hpv,cin,hpv18,positive,0.99
hpv,cin,hpv18,negative,0.01
hpv,cin,hpv18,inadequate,0
hpv,cin,hi5,positive,0.99
hpv,cin,hi5,negative,0.01
hpv,cin,hi5,inadequate,0
hpv,cin,hpv45,positive,0.99
hpv,cin,hpv45,negative,0.01
hpv,cin,hpv45,inadequate,0
hpv,cin,hi4,positive,0.99
hpv,cin,hi4,negative,0.01
hpv,cin,hi4,inadequate,0
hpv,cin,ohr,positive,0.99
hpv,cin,ohr,negative,0.01
hpv,cin,ohr,inadequate,0
hpv,cin,hr,positive,0.99
hpv,cin,hr,negative,0.01
hpv,cin,hr,inadequate,0
hpv,cin,lr,positive,0.99
hpv,cin,lr,negative,0.01
hpv,cin,lr,inadequate,0
hpv,cancerous,hpv16,positive,0.99
hpv,cancerous,hpv16,negative,0.01
hpv,cancerous,hpv16,inadequate,0
hpv,cancerous,hpv18,positive,0.99
hpv,cancerous,hpv18,negative,0.01
hpv,cancerous,hpv18,inadequate,0
hpv,cancerous,hi5,positive,0.99
hpv,cancerous,hi5,negative,0.01
hpv,cancerous,hi5,inadequate,0
hpv,cancerous,hpv45,positive,0.99
hpv,cancerous,hpv45,negative,0.01
hpv,cancerous,hpv45,inadequate,0
hpv,cancerous,hi4,positive,0.99
hpv,cancerous,hi4,negative,0.01
hpv,cancerous,hi4,inadequate,0
hpv,cancerous,ohr,positive,0.99
hpv,cancerous,ohr,negative,0.01
hpv,cancerous,ohr,inadequate,0
hpv,cancerous,hr,positive,0.99
hpv,cancerous,hr,negative,0.01
hpv,cancerous,hr,inadequate,0
hpv,cancerous,lr,positive,0.99
hpv,cancerous,lr,negative,0.01
hpv,cancerous,lr,inadequate,0
