Birth Cohort,Baseline,Catch-up 10-15: V,Catch-up 10-20: V,Catch-up 10-25: V,Catch-up 10-30: V,Catch-up 10-35: V,Catch-up 10-40: V,Catch-up 10-45: V,Catch-up 10-50: V,Catch-up 10-55: V,Catch-up 10-60: V
10-15,"61533.0 (60396.8, 63452.5)","38156.4 (36774.0, 41286.1)","29110.2 (27557.8, 31254.1)","27807.1 (25579.4, 28963.7)","26575.8 (26164.8, 28241.5)","26957.3 (25845.3, 27401.5)","27078.1 (25842.3, 27869.8)","26345.4 (25240.2, 28289.1)","26081.0 (25222.8, 28969.7)","26911.9 (25988.8, 27688.5)","26553.1 (24258.1, 29562.7)"
15-20,"100754.5 (99612.3, 106548.5)","97509.9 (93849.9, 101760.7)","43342.4 (41648.7, 44724.8)","31603.1 (29513.6, 32401.6)","29132.9 (27961.2, 30121.0)","28536.1 (26972.4, 29315.7)","28184.8 (26613.5, 29669.2)","27410.5 (26122.5, 28646.4)","27195.2 (26722.3, 30360.4)","27316.1 (26320.4, 28604.8)","26783.5 (25798.4, 29148.0)"
20-25,"106095.3 (103072.9, 107815.4)","103745.9 (98636.3, 106468.5)","93846.1 (91542.9, 95114.5)","41525.6 (39923.3, 43186.8)","31100.8 (29158.6, 33099.6)","29450.2 (27460.4, 29650.3)","28600.3 (26976.9, 30222.2)","27742.9 (26655.1, 29761.4)","27395.4 (26459.4, 28611.6)","27512.5 (26573.5, 29225.0)","27671.1 (27004.9, 29053.6)"
25-30,"96323.9 (93466.9, 98209.5)","95005.7 (92167.6, 97095.2)","90042.6 (88458.5, 91849.6)","81408.1 (79013.4, 83600.4)","39523.7 (37060.3, 40492.2)","30579.5 (28006.5, 32160.6)","28834.5 (27767.8, 29958.6)","27837.3 (26376.3, 29824.8)","28158.4 (25956.3, 29241.7)","27459.6 (26317.4, 30031.8)","27890.2 (26374.1, 28713.6)"
30-35,"82499.7 (81029.7, 85110.4)","82518.6 (79880.7, 84407.1)","79500.7 (78190.8, 82608.5)","75802.9 (73883.4, 79107.9)","68596.2 (65876.6, 71674.5)","36211.2 (34785.0, 37008.2)","29004.5 (27977.1, 30569.7)","27576.7 (27180.1, 29001.4)","27712.7 (26559.2, 28872.3)","27248.1 (26535.0, 28030.7)","27421.8 (26776.7, 28547.4)"
35-40,"70348.7 (68216.2, 71735.7)","70548.9 (68450.4, 72328.7)","69317.6 (67905.0, 72481.3)","66284.6 (64009.2, 70672.8)","64403.6 (61412.9, 66662.3)","60109.0 (58586.1, 61001.2)","33367.0 (32783.8, 35197.4)","28687.2 (28052.6, 30793.3)","28230.2 (27370.5, 29339.1)","28143.3 (26995.0, 28663.8)","28075.3 (26642.3, 29326.3)"
40-45,"55266.7 (53295.1, 57272.4)","54477.3 (53780.1, 56615.2)","54945.7 (53579.1, 55327.9)","54564.2 (51886.2, 56071.3)","52755.0 (50410.9, 54298.3)","50953.3 (49079.8, 53190.1)","47640.7 (46129.9, 48784.5)","29918.5 (28799.7, 31236.7)","27527.6 (26380.1, 27943.8)","27025.3 (26122.5, 27575.2)","26900.6 (26255.5, 28027.7)"
45-50,"41355.6 (40437.0, 42685.2)","41253.6 (40277.6, 42957.9)","41008.1 (39019.1, 43300.1)","41536.9 (40623.6, 42239.5)","40566.2 (38648.9, 41595.8)","40014.7 (39176.2, 41799.1)","38760.7 (37823.3, 39439.1)","36585.1 (35806.3, 37232.5)","26798.6 (26087.8, 27242.1)","25386.0 (23902.3, 26105.1)","25525.7 (24511.2, 25759.2)"
50-55,"30685.3 (29385.9, 31291.9)","30443.5 (29396.5, 31250.3)","30058.3 (29227.3, 31999.0)","30757.0 (29512.9, 31446.0)","30020.5 (28910.8, 31591.0)","29718.3 (28663.0, 31495.8)","29620.1 (28728.7, 30388.4)","29174.4 (28243.0, 29857.3)","28774.1 (26842.4, 29514.4)","23059.3 (21975.3, 23637.2)","22447.4 (21419.3, 23108.4)"
55-60,"20989.4 (20789.2, 21626.2)","21057.4 (20817.9, 21954.1)","21174.5 (20714.4, 22022.1)","21246.3 (20789.2, 21681.4)","20997.0 (20596.6, 21658.0)","21329.4 (20738.6, 21968.5)","20989.4 (20380.6, 21343.7)","20898.8 (20502.9, 21165.4)","20672.1 (20263.5, 21358.1)","20592.8 (19879.7, 21025.7)","18149.0 (17892.2, 18607.6)"
