age_range,lower,upper,intervention,cancers_averted,doses
10-15,10,15,TT,271.9521675109863,0.0
10-20,10,20,TT,2224.7198147773743,0.0
10-25,10,25,TT,1537.2851691246033,0.0
10-30,10,30,TT,12592.896201133728,0.0
10-35,10,35,TT,22213.20412683487,0.0
10-40,10,40,TT,27973.302119255066,0.0
10-45,10,45,TT,40392.451102256775,0.0
10-50,10,50,TT,40173.378522872925,0.0
10-55,10,55,TT,52146.82812023163,0.0
10-60,10,60,TT,52263.91863679886,0.0
15-20,15,20,TT,-294.61484813690186,0.0
15-25,15,25,TT,4857.367880821228,0.0
15-30,15,30,TT,14031.976420879364,0.0
15-35,15,35,TT,22152.770311832428,0.0
15-40,15,40,TT,26598.432827949524,0.0
15-45,15,45,TT,35663.505078315735,0.0
15-50,15,50,TT,45162.94537401199,0.0
15-55,15,55,TT,50798.398622989655,0.0
15-60,15,60,TT,56524.50259447098,0.0
20-25,20,25,TT,2662.8649735450745,0.0
20-30,20,30,TT,11233.135363578796,0.0
20-35,20,35,TT,20301.98472738266,0.0
20-40,20,40,TT,27357.632628917694,0.0
20-45,20,45,TT,36437.813333034515,0.0
20-50,20,50,TT,43055.31607580185,0.0
20-55,20,55,TT,48022.220246315,0.0
20-60,20,60,TT,54008.945044994354,0.0
25-30,25,30,TT,6492.857999324799,0.0
25-35,25,35,TT,15735.454581260681,0.0
25-40,25,40,TT,22114.999177455902,0.0
25-45,25,45,TT,32573.826286315918,0.0
25-50,25,50,TT,39161.11212158203,0.0
25-55,25,55,TT,42024.16410732269,0.0
25-60,25,60,TT,47636.95467567444,0.0
30-35,30,35,TT,8747.794721603394,0.0
30-40,30,40,TT,15958.304274082184,0.0
30-45,30,45,TT,24071.543938159943,0.0
30-50,30,50,TT,32097.909993171692,0.0
30-55,30,55,TT,35210.251465797424,0.0
30-60,30,60,TT,43878.72680521011,0.0
35-40,35,40,TT,6870.569343090057,0.0
35-45,35,45,TT,15788.334169387817,0.0
35-50,35,50,TT,23678.724140644073,0.0
35-55,35,55,TT,28407.670164585114,0.0
35-60,35,60,TT,34930.74507141113,0.0
40-45,40,45,TT,9303.030396938324,0.0
40-50,40,50,TT,14492.78426027298,0.0
40-55,40,55,TT,21506.883913993835,0.0
40-60,40,60,TT,25548.395292282104,0.0
45-50,45,50,TT,6727.039032459259,0.0
45-55,45,55,TT,12426.703209877014,0.0
45-60,45,60,TT,16188.708193778992,0.0
50-55,50,55,TT,5979.170571804047,0.0
50-60,50,60,TT,10553.25494480133,0.0
55-60,55,60,TT,4619.409734249115,0.0
10-15,10,15,TTV,9163.277199745178,1032730.9375
10-20,10,20,TTV,42277.230707645416,3122729.0
10-25,10,25,TTV,79817.96116447449,5112739.0
10-30,10,30,TTV,112950.80023956299,6772327.5
10-35,10,35,TTV,140644.59596443176,8190097.5
10-40,10,40,TTV,160568.86934804916,9419351.0
10-45,10,45,TTV,176432.74578619003,10349800.0
10-50,10,50,TTV,188394.86404323578,11112805.0
10-55,10,55,TTV,195235.21647882462,11758836.0
10-60,10,60,TTV,198517.5280561447,12206370.0
15-20,15,20,TTV,26020.534471988678,2090844.125
15-25,15,25,TTV,62956.926778793335,4087894.5
15-30,15,30,TTV,96746.98359203339,5783018.5
15-35,15,35,TTV,121022.49165582657,7172656.5
15-40,15,40,TTV,143307.46093797684,8405393.0
15-45,15,45,TTV,159605.70542144775,9337646.0
15-50,15,50,TTV,168451.70509243011,10141566.0
15-55,15,55,TTV,174714.1591720581,10716246.0
15-60,15,60,TTV,179548.86437225342,11199219.0
20-25,20,25,TTV,28358.56768989563,2032653.75
20-30,20,30,TTV,57929.58879327774,3716196.5
20-35,20,35,TTV,84467.58780622482,5138416.0
20-40,20,40,TTV,104418.30098390579,6312570.0
20-45,20,45,TTV,120414.3763923645,7283590.5
20-50,20,50,TTV,128327.42904424667,8071103.5
20-55,20,55,TTV,138261.23738527298,8692378.0
20-60,20,60,TTV,140565.27658224106,9127842.0
25-30,25,30,TTV,23625.844552516937,1725310.125
25-35,25,35,TTV,48411.26293039322,3149894.0
25-40,25,40,TTV,67938.9394030571,4329925.0
25-45,25,45,TTV,83315.56820774078,5297508.5
25-50,25,50,TTV,92161.56787872314,6060455.5
25-55,25,55,TTV,99564.71021652222,6663818.0
25-60,25,60,TTV,104928.21129798889,7143414.0
30-35,30,35,TTV,20834.557722091675,1448848.0
