location,scenario,cohort,value,low,high
kenya,Baseline,10_15,29960.0681,29935.8946,29984.2417
kenya,Baseline,15_20,50564.2291,50101.9103,51026.5479
kenya,Baseline,20_25,50994.8204,50671.4993,51318.1414
kenya,Baseline,25_30,47017.5187,46159.3582,47875.6792
kenya,Baseline,30_35,39595.4887,39447.4258,39743.5517
kenya,Baseline,35_40,32384.9771,32137.1983,32632.7558
kenya,Baseline,40_45,23595.6317,22988.2716,24202.9917
kenya,Baseline,45_50,17793.9840,17760.7454,17827.2226
kenya,Baseline,50_55,12177.4150,11935.6797,12419.1504
kenya,Baseline,55_60,8060.3605,7818.6253,8302.0958
kenya,Catch-up 10-30 10%,10_15,26466.2371,25883.0506,27049.4235
kenya,Catch-up 10-30 10%,15_20,43878.7360,43416.4172,44341.0548
kenya,Catch-up 10-30 10%,20_25,47618.0797,47361.2359,47874.9235
kenya,Catch-up 10-30 10%,25_30,44033.5981,43392.9995,44674.1966
kenya,Catch-up 10-30 10%,30_35,37476.5274,36932.6228,38020.4319
kenya,Catch-up 10-30 10%,35_40,31712.6507,31205.0065,32220.2949
kenya,Catch-up 10-30 10%,40_45,23361.4505,23310.0817,23412.8192
kenya,Catch-up 10-30 10%,45_50,17427.6039,17361.1267,17494.0811
kenya,Catch-up 10-30 10%,50_55,12547.5721,12475.0516,12620.0927
kenya,Catch-up 10-30 10%,55_60,8071.6919,8014.2797,8129.1040
kenya,Catch-up 10-30 20%,10_15,23928.0159,23743.6928,24112.3391
kenya,Catch-up 10-30 20%,15_20,38696.5344,38415.5171,38977.5517
kenya,Catch-up 10-30 20%,20_25,42522.7518,42335.4069,42710.0967
kenya,Catch-up 10-30 20%,25_30,41665.3471,41656.2820,41674.4121
kenya,Catch-up 10-30 20%,30_35,38243.2816,37750.7458,38735.8175
kenya,Catch-up 10-30 20%,35_40,31886.3980,31511.7083,32261.0878
kenya,Catch-up 10-30 20%,40_45,23565.4147,23193.7466,23937.0828
kenya,Catch-up 10-30 20%,45_50,17884.6348,17797.0057,17972.2638
kenya,Catch-up 10-30 20%,50_55,12188.7463,12143.4210,12234.0717
kenya,Catch-up 10-30 20%,55_60,7905.4989,7745.3492,8065.6485
kenya,Catch-up 10-30 30%,10_15,21318.0298,20991.6871,21644.3725
kenya,Catch-up 10-30 30%,15_20,34435.9490,33973.6301,34898.2679
kenya,Catch-up 10-30 30%,20_25,37578.5085,36578.3285,38578.6885
kenya,Catch-up 10-30 30%,25_30,37642.7198,37533.9390,37751.5007
kenya,Catch-up 10-30 30%,30_35,37718.2627,36793.6250,38642.9004
kenya,Catch-up 10-30 30%,35_40,31497.3552,31470.1600,31524.5505
kenya,Catch-up 10-30 30%,40_45,23108.3838,22999.6029,23217.1648
kenya,Catch-up 10-30 30%,45_50,17454.0437,17142.8095,17765.2780
kenya,Catch-up 10-30 30%,50_55,12328.4995,12310.3694,12346.6297
kenya,Catch-up 10-30 30%,55_60,7788.4083,7703.8009,7873.0157
kenya,Catch-up 10-30 40%,10_15,18454.9770,18031.9402,18878.0139
kenya,Catch-up 10-30 40%,15_20,29899.6340,29029.3869,30769.8812
kenya,Catch-up 10-30 40%,20_25,33438.7908,32607.8255,34269.7560
kenya,Catch-up 10-30 40%,25_30,35912.8012,35634.8055,36190.7969
