coverage,location,scenario,metric,value,low,high
30,kenya,No interventions,cancers,943730.6245,928032.9423,959428.3067
30,kenya,No interventions,cancer_deaths,733538.0934,721826.0175,745250.1693
30,kenya,No interventions,vaccinations,0.0000,,
30,kenya,Baseline,cancers,370323.2960,362811.3733,377835.2187
30,kenya,Baseline,cancer_deaths,321776.0489,316049.9449,327502.1528
30,kenya,Baseline,vaccinations,0.0000,,
30,kenya,Catch-up 10-15: TTV,cancers,364861.5898,355881.1289,373842.0506
30,kenya,Catch-up 10-15: TTV,cancer_deaths,315857.3126,308290.9967,323423.6285
30,kenya,Catch-up 10-15: TTV,vaccinations,448751.3750,,
30,kenya,Catch-up 10-15: V,cancers,360404.5964,351895.5157,368913.6770
30,kenya,Catch-up 10-15: V,cancer_deaths,312695.8661,305634.1731,319757.5590
30,kenya,Catch-up 10-15: V,vaccinations,448751.3750,,
30,kenya,Catch-up 10-15: TT,cancers,366576.3990,358659.5714,374493.2266
30,kenya,Catch-up 10-15: TT,cancer_deaths,317715.6536,311309.6685,324121.6386
30,kenya,Catch-up 10-15: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-20: TTV,cancers,345190.3847,338808.5735,351572.1960
30,kenya,Catch-up 10-20: TTV,cancer_deaths,301239.8804,294549.8566,307929.9043
30,kenya,Catch-up 10-20: TTV,vaccinations,1348127.5000,,
30,kenya,Catch-up 10-20: V,cancers,342893.8981,336016.5315,349771.2646
30,kenya,Catch-up 10-20: V,cancer_deaths,298856.5238,292338.7372,305374.3104
30,kenya,Catch-up 10-20: V,vaccinations,1348127.5000,,
30,kenya,Catch-up 10-20: TT,cancers,368933.3177,362581.7249,375284.9105
30,kenya,Catch-up 10-20: TT,cancer_deaths,319759.0685,313066.0231,326452.1139
30,kenya,Catch-up 10-20: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-25: TTV,cancers,325825.1243,319621.5935,332028.6551
30,kenya,Catch-up 10-25: TTV,cancer_deaths,284401.5083,278333.9533,290469.0633
30,kenya,Catch-up 10-25: TTV,vaccinations,2219470.0000,,
30,kenya,Catch-up 10-25: V,cancers,332627.7048,326390.9360,338864.4737
30,kenya,Catch-up 10-25: V,cancer_deaths,290350.4620,284152.9745,296547.9495
30,kenya,Catch-up 10-25: V,vaccinations,2219470.0000,,
30,kenya,Catch-up 10-25: TT,cancers,372502.6887,365646.4739,379358.9035
30,kenya,Catch-up 10-25: TT,cancer_deaths,323264.2305,316347.5798,330180.8812
30,kenya,Catch-up 10-25: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-30: TTV,cancers,315574.0380,308953.5152,322194.5608
30,kenya,Catch-up 10-30: TTV,cancer_deaths,275929.4407,270100.5990,281758.2824
30,kenya,Catch-up 10-30: TTV,vaccinations,2939871.0000,,
30,kenya,Catch-up 10-30: V,cancers,316167.0478,308171.6538,324162.4419
30,kenya,Catch-up 10-30: V,cancer_deaths,277005.9199,270473.0246,283538.8152
30,kenya,Catch-up 10-30: V,vaccinations,2939871.0000,,
30,kenya,Catch-up 10-30: TT,cancers,367562.2255,360125.8468,374998.6042
30,kenya,Catch-up 10-30: TT,cancer_deaths,318992.3159,311933.6455,326050.9862
30,kenya,Catch-up 10-30: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-35: TTV,cancers,304446.6653,297916.7928,310976.5379
30,kenya,Catch-up 10-35: TTV,cancer_deaths,267699.1120,262338.6323,273059.5916
30,kenya,Catch-up 10-35: TTV,vaccinations,3532991.5000,,
30,kenya,Catch-up 10-35: V,cancers,315804.4443,308135.3942,323473.4943
30,kenya,Catch-up 10-35: V,cancer_deaths,278248.5901,271374.2436,285122.9367
30,kenya,Catch-up 10-35: V,vaccinations,3532991.5000,,
30,kenya,Catch-up 10-35: TT,cancers,359788.9262,353101.9280,366475.9243
30,kenya,Catch-up 10-35: TT,cancer_deaths,311634.4978,304865.9108,318403.0848
30,kenya,Catch-up 10-35: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-40: TTV,cancers,298021.7957,292256.4106,303787.1807
30,kenya,Catch-up 10-40: TTV,cancer_deaths,262758.6471,257754.7269,267762.5673
30,kenya,Catch-up 10-40: TTV,vaccinations,4078497.5000,,
30,kenya,Catch-up 10-40: V,cancers,307392.8122,301418.9304,313366.6940
30,kenya,Catch-up 10-40: V,cancer_deaths,270403.5257,264493.0986,276313.9528
