event,age_mid,count
Cancer,15.25,2
Cancer,16.25,3
Cancer,16.75,2
Cancer,17.25,4
Cancer,17.75,7
Cancer,18.25,14
Cancer,18.75,21
Cancer,19.25,17
Cancer,19.75,32
Cancer,20.25,32
Cancer,20.75,45
Cancer,21.25,58
Cancer,21.75,68
Cancer,22.25,95
Cancer,22.75,125
Cancer,23.25,130
Cancer,23.75,181
Cancer,24.25,201
Cancer,24.75,247
Cancer,25.25,244
Cancer,25.75,276
Cancer,26.25,338
Cancer,26.75,341
Cancer,27.25,402
Cancer,27.75,464
Cancer,28.25,520
Cancer,28.75,551
Cancer,29.25,600
Cancer,29.75,631
Cancer,30.25,702
Cancer,30.75,743
Cancer,31.25,845
Cancer,31.75,844
Cancer,32.25,924
Cancer,32.75,946
Cancer,33.25,969
Cancer,33.75,1043
Cancer,34.25,1118
Cancer,34.75,1184
Cancer,35.25,1237
Cancer,35.75,1242
Cancer,36.25,1281
Cancer,36.75,1363
Cancer,37.25,1348
Cancer,37.75,1406
Cancer,38.25,1477
Cancer,38.75,1533
Cancer,39.25,1495
Cancer,39.75,1471
Cancer,40.25,1620
Cancer,40.75,1708
Cancer,41.25,1685
Cancer,41.75,1664
Cancer,42.25,1704
Cancer,42.75,1670
Cancer,43.25,1680
Cancer,43.75,1709
Cancer,44.25,1791
Cancer,44.75,1690
Cancer,45.25,1848
Cancer,45.75,1817
Cancer,46.25,1802
Cancer,46.75,1685
Cancer,47.25,1723
Cancer,47.75,1757
Cancer,48.25,1861
Cancer,48.75,1857
Cancer,49.25,1816
Cancer,49.75,1768
Cancer,50.25,1700
Cancer,50.75,1786
Cancer,51.25,1805
Cancer,51.75,1763
Cancer,52.25,1797
Cancer,52.75,1853
Cancer,53.25,1670
Cancer,53.75,1761
Cancer,54.25,1654
Cancer,54.75,1723
Cancer,55.25,1694
Cancer,55.75,1623
Cancer,56.25,1531
Cancer,56.75,1582
Cancer,57.25,1542
Cancer,57.75,1534
Cancer,58.25,1483
Cancer,58.75,1523
Cancer,59.25,1458
Cancer,59.75,1416
Cancer,60.25,1321
Cancer,60.75,1316
Cancer,61.25,1322
Cancer,61.75,1270
Cancer,62.25,1288
Cancer,62.75,1291
Cancer,63.25,1146
Cancer,63.75,1162
Cancer,64.25,1133
Cancer,64.75,1069
Cancer,65.25,1003
Cancer,65.75,1045
Cancer,66.25,954
Cancer,66.75,1017
Cancer,67.25,882
Cancer,67.75,904
Cancer,68.25,813
Cancer,68.75,833
Cancer,69.25,787
Cancer,69.75,809
Cancer,70.25,706
Cancer,70.75,715
Cancer,71.25,693
Cancer,71.75,623
Cancer,72.25,608
Cancer,72.75,594
