Birth Cohort,Baseline,Catch-up 10-15: V,Catch-up 10-20: V,Catch-up 10-25: V,Catch-up 10-30: V,Catch-up 10-35: V,Catch-up 10-40: V,Catch-up 10-45: V,Catch-up 10-50: V,Catch-up 10-55: V,Catch-up 10-60: V
10-15,"28513.4 (27404.5, 29622.4)","15218.0 (14864.5, 15571.5)","11157.6 (11133.4, 11181.8)","10942.3 (10703.6, 11181.0)","10912.1 (10673.4, 11150.8)","10572.1 (10466.4, 10677.9)","10319.1 (9986.7, 10651.5)","10228.4 (10059.2, 10397.6)","9541.0 (9136.1, 9945.9)","10145.3 (9939.9, 10350.8)","10043.3 (9889.2, 10197.5)"
15-20,"53959.9 (52201.2, 55718.5)","51043.9 (49116.1, 52971.8)","20777.9 (20575.4, 20980.4)","15165.1 (14992.9, 15337.3)","14137.7 (13633.1, 14642.4)","14239.7 (13901.3, 14578.1)","14235.9 (13997.2, 14474.7)","14526.8 (14303.2, 14750.4)","14156.6 (13528.1, 14785.1)","14213.3 (13793.3, 14633.3)","14409.7 (13802.3, 15017.0)"
20-25,"57990.0 (57860.1, 58120.0)","56705.8 (55192.0, 58219.7)","51489.6 (50172.2, 52807.1)","25661.7 (25129.9, 26193.5)","21401.1 (20706.1, 22096.1)","21231.2 (20738.6, 21723.7)","21076.3 (20750.0, 21402.6)","20830.8 (20253.6, 21407.9)","21046.1 (20882.9, 21209.2)","21216.0 (20638.9, 21793.2)","20966.8 (20202.3, 21731.2)"
25-30,"53491.5 (53128.9, 53854.1)","51833.3 (50676.0, 52990.6)","49552.0 (49337.4, 49766.5)","45499.1 (45348.0, 45650.2)","28932.7 (28310.2, 29555.2)","26284.9 (25840.7, 26729.1)","26103.6 (25484.2, 26723.1)","26035.6 (25651.9, 26419.4)","26235.8 (25468.3, 27003.3)","26402.0 (25695.0, 27109.1)","25695.7 (25632.3, 25759.2)"
30-35,"45397.1 (44264.0, 46530.3)","44656.8 (42883.1, 46430.6)","42964.7 (42236.4, 43692.9)","41756.0 (41293.7, 42218.3)","39761.7 (38973.0, 40550.3)","28419.0 (27711.9, 29126.1)","27029.0 (26056.0, 28002.0)","26874.2 (26188.2, 27560.1)","27040.4 (26022.0, 28058.7)","26855.3 (25966.9, 27743.7)","26908.2 (26074.2, 27742.1)"
35-40,"37461.4 (37123.0, 37799.8)","37778.7 (37452.4, 38105.0)","37401.0 (37237.8, 37564.2)","35856.1 (35502.6, 36209.7)","35659.7 (35632.5, 35686.9)","34254.6 (34046.2, 34463.1)","27013.9 (26784.3, 27243.6)","25488.0 (25258.3, 25717.6)","25556.0 (25471.3, 25640.6)","25805.2 (25672.3, 25938.2)","25941.2 (25898.9, 25983.5)"
40-45,"28702.3 (28626.7, 28777.8)","29287.7 (29027.9, 29547.6)","28298.1 (28147.1, 28449.2)","28377.5 (28350.3, 28404.7)","28826.9 (28742.3, 28911.5)","27376.5 (26862.8, 27890.2)","27410.5 (26972.4, 27848.7)","22692.9 (22354.5, 23031.3)","22428.5 (22392.2, 22464.8)","22451.2 (22402.8, 22499.5)","22149.0 (22052.3, 22245.7)"
45-50,"20196.2 (19806.4, 20586.0)","19792.1 (19634.9, 19949.2)","19999.8 (19797.4, 20202.3)","19727.9 (19724.8, 19730.9)","20166.0 (19824.6, 20507.5)","19346.4 (19165.1, 19527.7)","19795.9 (19539.0, 20052.7)","19097.1 (18885.6, 19308.6)","16834.6 (16469.0, 17200.2)","16740.2 (16583.0, 16897.3)","16868.6 (16765.9, 16971.3)"
50-55,"14538.1 (14510.9, 14565.3)","14825.2 (14695.2, 14955.1)","14519.2 (14440.7, 14597.8)","14549.4 (14350.0, 14748.9)","14609.9 (14495.1, 14724.7)","14587.2 (14230.7, 14943.8)","14783.6 (14674.8, 14892.4)","14628.8 (14287.3, 14970.2)","14171.7 (14165.7, 14177.8)","13563.6 (13294.7, 13832.5)","13439.0 (13336.2, 13541.7)"
55-60,"9420.1 (9323.4, 9516.8)","9484.3 (9451.1, 9517.6)","9495.7 (9465.4, 9525.9)","9382.4 (9376.3, 9388.4)","9325.7 (9268.3, 9383.1)","9340.8 (9156.5, 9525.1)","9329.5 (9317.4, 9341.6)","9393.7 (9281.9, 9505.5)","9337.0 (9300.8, 9373.3)","9412.6 (9346.1, 9479.0)","9034.9 (8938.2, 9131.6)"
