cohort,n_total,pct_never_infected,pct_currently_infected,pct_previously_infected,pct_cin,pct_cancerous,pct_sexually_active,pct_zero_partners,pct_one_partner,pct_multiple_partners,mean_partners,n_n_total,n_n_never_infected,n_n_currently_infected,n_n_previously_infected,n_n_cin,n_n_cancerous,n_n_sexually_active,n_n_zero_partners,n_n_one_partner,n_n_multiple_partners
0-10,9191,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9191,9191,0,0,0,0,0,9191,0,0
10-15,4513,99.0471969864835,0.7755373365832041,0.17726567693330378,0.06647462884998892,0.0,2.8140926213161976,97.18590737868381,2.570352315532905,0.2437403057832927,0.031021493463328165,4513,4470,35,8,3,0,127,4386,116,11
15-20,5031,73.90180878552971,21.963824289405686,4.134366925064599,3.955476048499304,0.03975352812562115,51.8783542039356,48.1216457960644,25.800039753528125,26.078314450407472,0.9385807990459153,5031,3718,1105,208,199,2,2610,2421,1298,1312
20-25,6087,32.41333990471497,57.039592574338755,10.547067520946278,17.151306062099557,0.410711352061771,92.08148513224906,7.918514867750945,24.08411368490225,67.99737144734681,2.4424182684409397,6087,1973,3472,642,1044,25,5605,482,1466,4139
25-30,7188,12.520868113522537,74.80523094045631,12.673900946021146,31.49693934335003,2.045075125208681,98.98441847523651,1.0155815247634947,14.691151919866444,84.29326655537007,3.3451585976627713,7188,900,5377,911,2264,147,7115,73,1056,6059
30-35,7718,5.77869914485618,80.81109095620627,13.410209898937548,40.69707178025395,4.819901528893496,99.81860585643949,0.1813941435605079,10.209898937548587,89.6087069188909,3.9063228815755378,7718,446,6237,1035,3141,372,7704,14,788,6916
35-40,7624,2.5183630640083945,83.39454354669465,14.087093389296957,44.464847848898216,8.43389296956978,99.97376705141657,0.026232948583420776,8.237145855194123,91.73662119622246,4.28895592864638,7624,192,6358,1074,3390,643,7622,2,628,6994
40-45,6811,1.115842020261342,85.22977536338276,13.654382616355894,47.43796799295258,12.068712377037146,99.95595360446337,0.04404639553663192,7.106151813243283,92.84980179122009,4.692115695198943,6811,76,5805,930,3231,822,6808,3,484,6324
45-50,5741,0.6444870231666957,85.10712419439122,14.248388782442083,48.2842710329211,14.230970214248389,99.93032572722522,0.06967427277477792,5.539104685594844,94.39122104163037,5.086221912558788,5741,37,4886,818,2772,817,5737,4,318,5419
50-55,4653,0.4298302170642596,83.92434988179669,15.64581990113905,47.216849344508915,17.193208682570386,99.93552546744036,0.06447453255963895,5.286911669890393,94.64861379754997,5.691596819256394,4653,20,3905,728,2197,800,4650,3,246,4404
55-60,3402,0.32333921222810114,80.27630805408583,19.400352733686066,48.589065255731924,15.60846560846561,99.97060552616108,0.029394473838918283,5.085243974132863,94.88536155202821,6.120517342739565,3402,11,2731,660,1653,531,3401,1,173,3228
