upper_age,coverage_pct,cancers_baseline,cancers_scenario,cancers_averted,pct_averted,pct_averted_low,pct_averted_high
30,10,349670.1281633377,326943.22886037827,22726.899302959442,6.499525544928238,3.650842068404843,9.437925835705736
30,20,349670.1281633377,305817.8257908821,43852.3023724556,12.54104907467856,10.211976146637545,14.943474133621928
30,30,349670.1281633377,285157.0080251694,64513.120138168335,18.449708723197826,15.368383673566575,21.628077431562136
30,40,349670.1281633377,269727.4945487976,79942.6336145401,22.862299972389216,19.746798768713983,26.075921183114037
30,50,349670.1281633377,254996.74787950516,94673.38028383255,27.0750552187886,23.917365981889787,30.3321931382363
30,60,349670.1281633377,240530.39893102646,109139.72923231125,31.21219699422822,28.118993444926335,34.40281830530318
30,70,349670.1281633377,230505.93689346313,119164.19126987457,34.079030970072075,31.449235193694847,36.79164988251895
30,80,349670.1281633377,217312.47626018524,132357.65190315247,37.852147279027974,34.79458141001589,41.006008531995676
30,90,349670.1281633377,208553.34862852097,141116.77953481674,40.35711608424794,37.0834575377074,43.733875666116475
35,10,349670.1281633377,321194.4600248337,28475.66813850403,8.143580433385631,5.162577058068124,11.218467923354098
35,20,349670.1281633377,296866.06373786926,52804.064425468445,15.101108208134566,12.574673726927188,17.707110551108133
35,30,349670.1281633377,272288.37815999985,77381.75000333786,22.129928687300204,18.424828432387404,25.951717859778697
35,40,349670.1281633377,255944.80315828323,93725.32500505447,26.803926745859616,23.506563905880093,30.205137167320483
35,50,349670.1281633377,236723.06668567657,112947.06147766113,32.30103242473757,28.89847531614694,35.810750117021044
35,60,349670.1281633377,219065.05599021912,130605.07217311859,37.35093782792633,34.52397572208504,40.26693265230001
35,70,349670.1281633377,204840.44289970398,144829.68526363373,41.41894705857773,38.25757364721911,44.67988518236304
35,80,349670.1281633377,193554.4249868393,156115.7031764984,44.64656560642027,41.44953392479595,47.94428502675216
35,90,349670.1281633377,179635.75901937485,170034.36914396286,48.627078909221694,45.502880766074554,51.849670961980664
40,10,349670.1281633377,316507.0605535507,33163.06760978699,9.48410085356101,6.359243167021145,12.70737322145956
40,20,349670.1281633377,291868.9408597946,57801.18730354309,16.530204512220454,13.519880368386463,19.635336202867823
40,30,349670.1281633377,264001.38848114014,85668.73968219757,24.49987367584915,20.935593437299218,28.17640782774078
40,40,349670.1281633377,241954.37007141113,107715.75809192657,30.804964283826514,27.989434629996925,33.70916660103246
40,50,349670.1281633377,222358.69912052155,127311.42904281616,36.40900917431143,33.70705191865466,39.19606222921232
40,60,349670.1281633377,203189.8426504135,146480.2855129242,41.89099202792079,39.060244309830914,44.810891689115984
40,70,349670.1281633377,188817.92201328278,160852.20615005493,46.001128833892764,42.728956418893176,49.37635547979701
40,80,349670.1281633377,172833.17360830307,176836.95455503464,50.5725082905654,47.20672110214227,54.04429802595144
40,90,349670.1281633377,159537.7316980362,190132.3964653015,54.37478959497707,51.48195632738223,57.35873013618646
45,10,349670.1281633377,317254.92927503586,32415.19888830185,9.270222497576368,5.997158631297244,12.646368670244673
45,20,349670.1281633377,286728.2878112793,62941.84035205841,18.000348123147955,15.223720141044284,20.864423594232456
45,30,349670.1281633377,256590.68940973282,93079.43875360489,26.61921372652275,23.546772036241816,29.78841930184223
45,40,349670.1281633377,232889.29490327835,116780.83326005936,33.397429135127254,30.80782252127641,36.06859316224663
45,50,349670.1281633377,210109.51655197144,139560.61161136627,39.9120772324523,36.75243400988812,43.171230676648385
45,60,349670.1281633377,191303.26284694672,158366.865316391,45.290361561115326,42.30475174019163,48.37000057269727
45,70,349670.1281633377,176859.57685709,172810.5513062477,49.4210220970104,46.53914113105054,52.39366540334827
45,80,349670.1281633377,157856.91428279877,191813.21388053894,54.85547618495431,52.0803960486842,57.71795506214381
45,90,349670.1281633377,144187.53804969788,205482.59011363983,58.76469665651706,55.91036516112655,61.708922845615035
