location,scenario,cohort,value,low,high
kenya,Baseline,10_15,28513.4331,27404.4722,29622.3940
kenya,Baseline,15_20,53959.8552,52201.2305,55718.4799
kenya,Baseline,20_25,57990.0368,57860.1041,58119.9695
kenya,Baseline,25_30,53491.4935,53128.8905,53854.0965
kenya,Baseline,30_35,45397.1371,44264.0026,46530.2715
kenya,Baseline,35_40,37461.4195,37122.9900,37799.8490
kenya,Baseline,40_45,28702.2909,28626.7486,28777.8332
kenya,Baseline,45_50,20196.2289,19806.4307,20586.0271
kenya,Baseline,50_55,14538.1117,14510.9164,14565.3069
kenya,Baseline,55_60,9420.1217,9323.4276,9516.8158
kenya,Catch-up 10-30 10%,10_15,25351.9881,25182.7733,25521.2028
kenya,Catch-up 10-30 10%,15_20,47927.8028,47253.9656,48601.6401
kenya,Catch-up 10-30 10%,20_25,52592.5397,51752.5094,53432.5700
kenya,Catch-up 10-30 10%,25_30,49585.9568,48824.4904,50347.4232
kenya,Catch-up 10-30 10%,30_35,44479.2982,43560.7039,45397.8925
kenya,Catch-up 10-30 10%,35_40,37272.5637,36940.1777,37604.9498
kenya,Catch-up 10-30 10%,40_45,28985.5745,28429.5832,29541.5657
kenya,Catch-up 10-30 10%,45_50,19841.1802,19723.3342,19959.0262
kenya,Catch-up 10-30 10%,50_55,14742.0758,14733.0107,14751.1409
kenya,Catch-up 10-30 10%,55_60,9423.8988,9324.1830,9523.6146
kenya,Catch-up 10-30 20%,10_15,22326.5193,21513.6843,23139.3543
kenya,Catch-up 10-30 20%,15_20,39093.1314,37672.9363,40513.3265
kenya,Catch-up 10-30 20%,20_25,46556.7103,44810.1724,48303.2482
kenya,Catch-up 10-30 20%,25_30,44747.4728,43584.1215,45910.8242
kenya,Catch-up 10-30 20%,30_35,44335.7679,42879.3124,45792.2234
kenya,Catch-up 10-30 20%,35_40,37461.4194,36802.6907,38120.1482
kenya,Catch-up 10-30 20%,40_45,28902.4780,28836.0008,28968.9552
kenya,Catch-up 10-30 20%,45_50,19784.5235,19748.2632,19820.7838
kenya,Catch-up 10-30 20%,50_55,14541.8887,14233.6762,14850.1013
kenya,Catch-up 10-30 20%,55_60,9416.3446,9298.4986,9534.1906
kenya,Catch-up 10-30 30%,10_15,19554.1173,19345.6205,19762.6140
kenya,Catch-up 10-30 30%,15_20,35096.9439,34462.3887,35731.4992
kenya,Catch-up 10-30 30%,20_25,41922.1905,41568.6525,42275.7284
kenya,Catch-up 10-30 30%,25_30,42775.8190,41485.5566,44066.0814
kenya,Catch-up 10-30 30%,30_35,43606.7848,42334.6524,44878.9171
kenya,Catch-up 10-30 30%,35_40,37038.3826,36693.9098,37382.8555
kenya,Catch-up 10-30 30%,40_45,29038.4541,28663.7643,29413.1439
kenya,Catch-up 10-30 30%,45_50,20279.3255,19732.3992,20826.2517
kenya,Catch-up 10-30 30%,50_55,14753.4072,14753.4072,14753.4072
kenya,Catch-up 10-30 30%,55_60,9386.1277,9322.6722,9449.5832
kenya,Catch-up 10-30 40%,10_15,16645.7392,16243.8543,17047.6241
kenya,Catch-up 10-30 40%,15_20,30186.6947,29237.8836,31135.5059
kenya,Catch-up 10-30 40%,20_25,37778.6956,37198.5307,38358.8605
kenya,Catch-up 10-30 40%,25_30,39300.8733,38886.9016,39714.8451
kenya,Catch-up 10-30 40%,30_35,42991.1150,42707.0760,43275.1541
kenya,Catch-up 10-30 40%,35_40,36698.4423,35973.2363,37423.6483
kenya,Catch-up 10-30 40%,40_45,28120.6152,27972.5522,28268.6781
kenya,Catch-up 10-30 40%,45_50,19712.7582,19655.3461,19770.1703
kenya,Catch-up 10-30 40%,50_55,14810.0639,14692.2180,14927.9099
kenya,Catch-up 10-30 40%,55_60,9412.5675,9400.4807,9424.6543
kenya,Catch-up 10-30 50%,10_15,15017.8031,14691.4605,15344.1458
kenya,Catch-up 10-30 50%,15_20,25911.0008,25548.3977,26273.6039
kenya,Catch-up 10-30 50%,20_25,33601.2066,32851.8270,34350.5862
kenya,Catch-up 10-30 50%,25_30,36592.6822,36296.5563,36888.8080
kenya,Catch-up 10-30 50%,30_35,42148.8184,41692.5430,42605.0939
kenya,Catch-up 10-30 50%,35_40,37083.7080,37005.1440,37162.2720
kenya,Catch-up 10-30 50%,40_45,28181.0490,28099.4633,28262.6348
kenya,Catch-up 10-30 50%,45_50,19614.5533,19212.6683,20016.4383
kenya,Catch-up 10-30 50%,50_55,14609.8768,14555.4864,14664.2673
kenya,Catch-up 10-30 50%,55_60,9408.7904,9399.7253,9417.8555
kenya,Catch-up 10-30 60%,10_15,13760.0242,13654.2650,13865.7833
kenya,Catch-up 10-30 60%,15_20,22069.6752,21939.7425,22199.6080
kenya,Catch-up 10-30 60%,20_25,29571.0252,28866.9710,30275.0794
kenya,Catch-up 10-30 60%,25_30,34500.1606,33599.6965,35400.6246
kenya,Catch-up 10-30 60%,30_35,40264.0382,39315.2269,41212.8494
kenya,Catch-up 10-30 60%,35_40,36551.1349,36487.6793,36614.5904
kenya,Catch-up 10-30 60%,40_45,28766.5018,28609.3738,28923.6297
kenya,Catch-up 10-30 60%,45_50,19633.4389,19282.9227,19983.9551
kenya,Catch-up 10-30 60%,50_55,14896.9375,14739.8095,15054.0654
kenya,Catch-up 10-30 60%,55_60,9340.8023,9204.8262,9476.7784
kenya,Catch-up 10-30 70%,10_15,12286.9499,12241.6245,12332.2753
kenya,Catch-up 10-30 70%,15_20,19508.7916,18714.0868,20303.4965
kenya,Catch-up 10-30 70%,20_25,27486.0579,27211.0839,27761.0318
kenya,Catch-up 10-30 70%,25_30,32441.6331,31411.2362,33472.0300
kenya,Catch-up 10-30 70%,30_35,41404.7268,40298.7876,42510.6660
kenya,Catch-up 10-30 70%,35_40,36165.8691,35322.8172,37008.9211
kenya,Catch-up 10-30 70%,40_45,28925.1406,28907.0105,28943.2708
kenya,Catch-up 10-30 70%,45_50,20166.0120,20150.9036,20181.1204
kenya,Catch-up 10-30 70%,50_55,14749.6301,14662.0010,14837.2591
kenya,Catch-up 10-30 70%,55_60,9382.3506,9346.0903,9418.6109
kenya,Catch-up 10-30 80%,10_15,11882.7987,11780.0612,11985.5362
kenya,Catch-up 10-30 80%,15_20,16751.4982,16543.0015,16959.9949
kenya,Catch-up 10-30 80%,20_25,24033.7751,23583.5431,24484.0072
kenya,Catch-up 10-30 80%,25_30,30545.5215,30258.4608,30832.5822
kenya,Catch-up 10-30 80%,30_35,40845.7138,39649.1238,42042.3038
kenya,Catch-up 10-30 80%,35_40,36067.6642,35665.7792,36469.5492
kenya,Catch-up 10-30 80%,40_45,28381.2361,27764.8110,28997.6613
kenya,Catch-up 10-30 80%,45_50,19826.0717,19678.0087,19974.1346
kenya,Catch-up 10-30 80%,50_55,14696.7504,14663.5118,14729.9890
kenya,Catch-up 10-30 80%,55_60,9299.2541,9262.9938,9335.5144
kenya,Catch-up 10-30 90%,10_15,10912.0805,10673.3670,11150.7941
kenya,Catch-up 10-30 90%,15_20,14137.7353,13633.1130,14642.3577
kenya,Catch-up 10-30 90%,20_25,21401.1264,20706.1373,22096.1155
kenya,Catch-up 10-30 90%,25_30,28932.6936,28310.2251,29555.1621
kenya,Catch-up 10-30 90%,30_35,39761.6819,38973.0203,40550.3435
kenya,Catch-up 10-30 90%,35_40,35659.7358,35632.5406,35686.9311
kenya,Catch-up 10-30 90%,40_45,28826.9357,28742.3283,28911.5430
kenya,Catch-up 10-30 90%,45_50,20166.0120,19824.5609,20507.4632
kenya,Catch-up 10-30 90%,50_55,14609.8768,14495.0525,14724.7011
kenya,Catch-up 10-30 90%,55_60,9325.6939,9268.2818,9383.1060
kenya,Catch-up 10-35 10%,10_15,24509.6915,23926.5050,25092.8780
kenya,Catch-up 10-35 10%,15_20,46398.0714,45594.3014,47201.8414
kenya,Catch-up 10-35 10%,20_25,52195.9426,50827.1162,53564.7691
kenya,Catch-up 10-35 10%,25_30,48365.9488,47492.6798,49239.2177
kenya,Catch-up 10-35 10%,30_35,42806.0364,42023.4182,43588.6546
kenya,Catch-up 10-35 10%,35_40,37061.0453,36740.7460,37381.3447
kenya,Catch-up 10-35 10%,40_45,29110.2193,29040.7203,29179.7182
kenya,Catch-up 10-35 10%,45_50,20090.4697,20039.1010,20141.8384
kenya,Catch-up 10-35 10%,50_55,14432.3524,14272.2028,14592.5021
kenya,Catch-up 10-35 10%,55_60,9197.2720,9097.5561,9296.9878
kenya,Catch-up 10-35 20%,10_15,22828.8755,22822.8321,22834.9188
kenya,Catch-up 10-35 20%,15_20,41344.2917,40528.4349,42160.1485
kenya,Catch-up 10-35 20%,20_25,46753.1202,46547.6452,46958.5953
kenya,Catch-up 10-35 20%,25_30,44879.6718,44372.0276,45387.3161
kenya,Catch-up 10-35 20%,30_35,40826.8283,40116.7307,41536.9259
kenya,Catch-up 10-35 20%,35_40,37691.8235,37422.8929,37960.7540
kenya,Catch-up 10-35 20%,40_45,29299.0749,28836.7561,29761.3938
kenya,Catch-up 10-35 20%,45_50,19988.4876,19861.5765,20115.3986
kenya,Catch-up 10-35 20%,50_55,14711.8589,14442.9283,14980.7895
kenya,Catch-up 10-35 20%,55_60,9476.7785,9431.4530,9522.1039
kenya,Catch-up 10-35 30%,10_15,19580.5570,18643.8326,20517.2814
kenya,Catch-up 10-35 30%,15_20,34364.1836,33240.1143,35488.2530
kenya,Catch-up 10-35 30%,20_25,41907.0819,41045.8998,42768.2641
kenya,Catch-up 10-35 30%,25_30,41219.6476,39306.9167,43132.3786
kenya,Catch-up 10-35 30%,30_35,38692.7584,37459.9082,39925.6087
kenya,Catch-up 10-35 30%,35_40,36777.7617,36218.7487,37336.7747
kenya,Catch-up 10-35 30%,40_45,28641.8570,28113.0609,29170.6531
kenya,Catch-up 10-35 30%,45_50,19750.5294,19548.0761,19952.9827
kenya,Catch-up 10-35 30%,50_55,14526.7803,14363.6090,14689.9516
kenya,Catch-up 10-35 30%,55_60,9491.8869,9416.3446,9567.4292
kenya,Catch-up 10-35 40%,10_15,16925.2458,16426.6666,17423.8249
kenya,Catch-up 10-35 40%,15_20,29385.9464,29023.3435,29748.5494
kenya,Catch-up 10-35 40%,20_25,35973.2347,35272.2022,36674.2671
kenya,Catch-up 10-35 40%,25_30,37929.7806,37682.0019,38177.5594
kenya,Catch-up 10-35 40%,30_35,36739.9902,36035.9360,37444.0444
kenya,Catch-up 10-35 40%,35_40,36789.0931,36650.0953,36928.0909
kenya,Catch-up 10-35 40%,40_45,28604.0859,28323.0686,28885.1032
kenya,Catch-up 10-35 40%,45_50,19357.7095,18853.0869,19862.3320
kenya,Catch-up 10-35 40%,50_55,14613.6540,14556.2418,14671.0661
kenya,Catch-up 10-35 40%,55_60,9435.2302,9423.1434,9447.3169
kenya,Catch-up 10-35 50%,10_15,15191.5503,15028.3790,15354.7216
kenya,Catch-up 10-35 50%,15_20,25854.3441,25083.8127,26624.8755
kenya,Catch-up 10-35 50%,20_25,33208.3866,32338.1394,34078.6339
kenya,Catch-up 10-35 50%,25_30,35376.4512,34899.0239,35853.8786
kenya,Catch-up 10-35 50%,30_35,35085.6139,34103.5641,36067.6638
kenya,Catch-up 10-35 50%,35_40,36366.0562,36257.2753,36474.8371
kenya,Catch-up 10-35 50%,40_45,28162.1635,27908.3414,28415.9856
kenya,Catch-up 10-35 50%,45_50,19618.3304,19231.5538,20005.1070
kenya,Catch-up 10-35 50%,50_55,14632.5395,14560.0189,14705.0602
kenya,Catch-up 10-35 50%,55_60,9427.6760,9403.5024,9451.8495
kenya,Catch-up 10-35 60%,10_15,13843.1207,13622.5372,14063.7042
kenya,Catch-up 10-35 60%,15_20,21299.1440,21229.6451,21368.6428
kenya,Catch-up 10-35 60%,20_25,29223.5306,28410.6955,30036.3656
kenya,Catch-up 10-35 60%,25_30,32891.1097,32250.5110,33531.7084
kenya,Catch-up 10-35 60%,30_35,33027.0865,32326.0540,33728.1190
kenya,Catch-up 10-35 60%,35_40,34719.2342,34374.7613,35063.7070
