location,scenario,cohort,value,low,high
kenya,Baseline,10_15,28513.4331,27404.4722,29622.3940
kenya,Baseline,15_20,53959.8552,52201.2305,55718.4799
kenya,Baseline,20_25,57990.0368,57860.1041,58119.9695
kenya,Baseline,25_30,53491.4935,53128.8905,53854.0965
kenya,Baseline,30_35,45397.1371,44264.0026,46530.2715
kenya,Baseline,35_40,37461.4195,37122.9900,37799.8490
kenya,Baseline,40_45,28702.2909,28626.7486,28777.8332
kenya,Baseline,45_50,20196.2289,19806.4307,20586.0271
kenya,Baseline,50_55,14538.1117,14510.9164,14565.3069
kenya,Baseline,55_60,9420.1217,9323.4276,9516.8158
kenya,Catch-up 10-30 10%,10_15,25933.6638,25522.7137,26344.6138
kenya,Catch-up 10-30 10%,15_20,46020.3599,44817.7266,47222.9932
kenya,Catch-up 10-30 10%,20_25,51206.3387,50979.7118,51432.9655
kenya,Catch-up 10-30 10%,25_30,48014.6771,47525.1630,48504.1911
kenya,Catch-up 10-30 10%,30_35,44792.7987,43768.4452,45817.1523
kenya,Catch-up 10-30 10%,35_40,37801.3599,37535.4510,38067.2687
kenya,Catch-up 10-30 10%,40_45,28951.5805,28712.8668,29190.2941
kenya,Catch-up 10-30 10%,45_50,19841.1802,19693.1173,19989.2430
kenya,Catch-up 10-30 10%,50_55,14915.8231,14658.9793,15172.6669
kenya,Catch-up 10-30 10%,55_60,9465.4471,9386.8832,9544.0111
kenya,Catch-up 10-30 20%,10_15,22560.7004,22509.3316,22612.0692
kenya,Catch-up 10-30 20%,15_20,40313.1395,39687.6493,40938.6297
kenya,Catch-up 10-30 20%,20_25,45593.5460,45578.4376,45608.6544
kenya,Catch-up 10-30 20%,25_30,43603.0070,43548.6166,43657.3974
kenya,Catch-up 10-30 20%,30_35,43629.4474,42973.7403,44285.1545
kenya,Catch-up 10-30 20%,35_40,36981.7259,36815.5329,37147.9190
kenya,Catch-up 10-30 20%,40_45,28766.5018,28675.8510,28857.1526
kenya,Catch-up 10-30 20%,45_50,19999.8190,19851.7561,20147.8819
kenya,Catch-up 10-30 20%,50_55,14764.7385,14519.9815,15009.4955
kenya,Catch-up 10-30 20%,55_60,9605.2003,9487.3544,9723.0463
kenya,Catch-up 10-30 30%,10_15,19924.2744,19921.2527,19927.2961
kenya,Catch-up 10-30 30%,15_20,33302.8144,32471.8492,34133.7797
kenya,Catch-up 10-30 30%,20_25,39640.8131,38713.1537,40568.4725
kenya,Catch-up 10-30 30%,25_30,40524.6585,39766.2138,41283.1031
kenya,Catch-up 10-30 30%,30_35,42315.0114,41345.0484,43284.9745
kenya,Catch-up 10-30 30%,35_40,36902.4065,36854.0594,36950.7535
kenya,Catch-up 10-30 30%,40_45,28679.6282,28386.5241,28972.7323
kenya,Catch-up 10-30 30%,45_50,19890.2827,19437.0289,20343.5364
kenya,Catch-up 10-30 30%,50_55,14583.4369,14417.2439,14749.6300
kenya,Catch-up 10-30 30%,55_60,9393.6820,9324.1831,9463.1808
kenya,Catch-up 10-30 40%,10_15,17771.3193,17466.1285,18076.5101
kenya,Catch-up 10-30 40%,15_20,29506.8141,29222.7751,29790.8531
kenya,Catch-up 10-30 40%,20_25,34522.8227,34407.9985,34637.6469
kenya,Catch-up 10-30 40%,25_30,36430.2661,35484.4766,37376.0556
kenya,Catch-up 10-30 40%,30_35,41499.1546,40353.9334,42644.3758
kenya,Catch-up 10-30 40%,35_40,36739.9905,35884.8518,37595.1293
kenya,Catch-up 10-30 40%,40_45,29076.2252,28725.7089,29426.7414
kenya,Catch-up 10-30 40%,45_50,19924.2767,19770.1704,20078.3829
kenya,Catch-up 10-30 40%,50_55,14798.7325,14587.2140,15010.2509
kenya,Catch-up 10-30 40%,55_60,9457.8929,9421.6326,9494.1531
kenya,Catch-up 10-30 50%,10_15,14760.9593,14289.5756,15232.3431
kenya,Catch-up 10-30 50%,15_20,25480.4099,25135.9370,25824.8828
kenya,Catch-up 10-30 50%,20_25,30749.4851,30250.9060,31248.0642
kenya,Catch-up 10-30 50%,25_30,32785.3504,32223.3158,33347.3851
kenya,Catch-up 10-30 50%,30_35,41873.0891,40724.8461,43021.3320
kenya,Catch-up 10-30 50%,35_40,36679.5567,36507.3203,36851.7931
kenya,Catch-up 10-30 50%,40_45,28845.8212,28389.5458,29302.0967
kenya,Catch-up 10-30 50%,45_50,19841.1801,19390.9480,20291.4122
kenya,Catch-up 10-30 50%,50_55,14409.6897,14249.5400,14569.8394
kenya,Catch-up 10-30 50%,55_60,9571.2063,9510.7724,9631.6401
kenya,Catch-up 10-30 60%,10_15,12955.4990,12441.8115,13469.1864
kenya,Catch-up 10-30 60%,15_20,21355.8007,21331.6272,21379.9743
kenya,Catch-up 10-30 60%,20_25,27421.8470,27047.1572,27796.5368
kenya,Catch-up 10-30 60%,25_30,29665.4536,28565.5578,30765.3494
kenya,Catch-up 10-30 60%,30_35,39750.3505,38632.3245,40868.3765
kenya,Catch-up 10-30 60%,35_40,36498.2552,36428.7564,36567.7541
kenya,Catch-up 10-30 60%,40_45,28641.8571,28372.9265,28910.7876
kenya,Catch-up 10-30 60%,45_50,19943.1622,19725.6005,20160.7240
kenya,Catch-up 10-30 60%,50_55,14745.8529,14631.0286,14860.6772
kenya,Catch-up 10-30 60%,55_60,9552.3207,9482.8219,9621.8196
kenya,Catch-up 10-30 70%,10_15,12173.6364,12037.6603,12309.6125
kenya,Catch-up 10-30 70%,15_20,18145.2534,17976.0386,18314.4682
kenya,Catch-up 10-30 70%,20_25,24687.2160,24675.1293,24699.3028
kenya,Catch-up 10-30 70%,25_30,27690.0226,27415.0487,27964.9965
kenya,Catch-up 10-30 70%,30_35,40128.0620,39777.5457,40478.5782
kenya,Catch-up 10-30 70%,35_40,35519.9825,35326.5942,35713.3708
kenya,Catch-up 10-30 70%,40_45,28585.2003,28343.4649,28826.9356
kenya,Catch-up 10-30 70%,45_50,19784.5235,19409.8337,20159.2132
kenya,Catch-up 10-30 70%,50_55,14436.1295,14140.0037,14732.2553
kenya,Catch-up 10-30 70%,55_60,9355.9108,9334.7589,9377.0626
kenya,Catch-up 10-30 80%,10_15,11070.7193,10795.7454,11345.6932
kenya,Catch-up 10-30 80%,15_20,15285.9780,15029.1342,15542.8218
kenya,Catch-up 10-30 80%,20_25,19996.0397,19681.7838,20310.2957
kenya,Catch-up 10-30 80%,25_30,24014.8901,23271.5539,24758.2262
kenya,Catch-up 10-30 80%,30_35,39293.3196,38256.8794,40329.7599
kenya,Catch-up 10-30 80%,35_40,35689.9526,35553.9765,35825.9287
kenya,Catch-up 10-30 80%,40_45,28060.1813,27954.4221,28165.9405
kenya,Catch-up 10-30 80%,45_50,19735.4209,19551.0977,19919.7442
kenya,Catch-up 10-30 80%,50_55,14768.5156,14605.3443,14931.6869
kenya,Catch-up 10-30 80%,55_60,9397.4590,9228.2443,9566.6737
kenya,Catch-up 10-30 90%,10_15,10330.4051,10176.2988,10484.5114
kenya,Catch-up 10-30 90%,15_20,13216.1196,13201.0112,13231.2280
kenya,Catch-up 10-30 90%,20_25,17159.4269,16697.1082,17621.7457
kenya,Catch-up 10-30 90%,25_30,20910.1020,20511.2387,21308.9652
kenya,Catch-up 10-30 90%,30_35,38061.9802,36421.2015,39702.7589
kenya,Catch-up 10-30 90%,35_40,35912.8025,35387.0281,36438.5768
kenya,Catch-up 10-30 90%,40_45,29087.5565,28727.9752,29447.1379
kenya,Catch-up 10-30 90%,45_50,19943.1622,19671.2100,20215.1145
kenya,Catch-up 10-30 90%,50_55,14590.9912,14491.2754,14690.7071
kenya,Catch-up 10-30 90%,55_60,9340.8023,9253.1733,9428.4314
kenya,Catch-up 10-35 10%,10_15,24539.9085,23763.3338,25316.4831
kenya,Catch-up 10-35 10%,15_20,46447.1738,45501.3843,47392.9634
kenya,Catch-up 10-35 10%,20_25,51610.4899,50716.0691,52504.9107
kenya,Catch-up 10-35 10%,25_30,46518.9396,45823.9505,47213.9287
kenya,Catch-up 10-35 10%,30_35,41355.6243,40669.7002,42041.5484
kenya,Catch-up 10-35 10%,35_40,37487.8593,37315.6229,37660.0957
kenya,Catch-up 10-35 10%,40_45,29076.2252,29009.7480,29142.7024
kenya,Catch-up 10-35 10%,45_50,19984.7105,19891.0381,20078.3829
kenya,Catch-up 10-35 10%,50_55,14681.6420,14491.2753,14872.0086
kenya,Catch-up 10-35 10%,55_60,9491.8869,9289.4336,9694.3402
kenya,Catch-up 10-35 20%,10_15,21242.4874,21012.8389,21472.1359
kenya,Catch-up 10-35 20%,15_20,38371.7024,38139.0323,38604.3726
kenya,Catch-up 10-35 20%,20_25,44830.5689,43902.9095,45758.2282
kenya,Catch-up 10-35 20%,25_30,43451.9224,43325.0114,43578.8335
kenya,Catch-up 10-35 20%,30_35,38571.8907,38287.8516,38855.9298
kenya,Catch-up 10-35 20%,35_40,36366.0562,36317.7092,36414.4032
kenya,Catch-up 10-35 20%,40_45,29563.4729,29397.2799,29729.6660
kenya,Catch-up 10-35 20%,45_50,20453.0727,20202.2723,20703.8731
kenya,Catch-up 10-35 20%,50_55,14541.8888,14197.4159,14886.3616
kenya,Catch-up 10-35 20%,55_60,9473.0013,9352.1337,9593.8689
kenya,Catch-up 10-35 30%,10_15,19765.6357,18831.9330,20699.3385
kenya,Catch-up 10-35 30%,15_20,34005.3577,32636.5314,35374.1841
kenya,Catch-up 10-35 30%,20_25,38972.2638,38071.7997,39872.7280
kenya,Catch-up 10-35 30%,25_30,37661.6055,36691.6423,38631.5686
kenya,Catch-up 10-35 30%,30_35,34609.6973,33984.2071,35235.1875
kenya,Catch-up 10-35 30%,35_40,35682.3984,35238.2097,36126.5871
kenya,Catch-up 10-35 30%,40_45,28094.1754,27338.7525,28849.5983
kenya,Catch-up 10-35 30%,45_50,19421.9205,19337.3131,19506.5278
kenya,Catch-up 10-35 30%,50_55,14538.1116,14275.2244,14800.9988
kenya,Catch-up 10-35 30%,55_60,9537.2122,9346.8457,9727.5788
kenya,Catch-up 10-35 40%,10_15,17034.7820,16509.0078,17560.5563
kenya,Catch-up 10-35 40%,15_20,28842.0419,28334.3977,29349.6861
kenya,Catch-up 10-35 40%,20_25,35236.6973,34617.2505,35856.1441
kenya,Catch-up 10-35 40%,25_30,33960.0330,33394.9766,34525.0894
kenya,Catch-up 10-35 40%,30_35,31905.2831,31128.7083,32681.8580
kenya,Catch-up 10-35 40%,35_40,36188.5319,35569.0850,36807.9787
kenya,Catch-up 10-35 40%,40_45,28774.0561,28097.1971,29450.9151
kenya,Catch-up 10-35 40%,45_50,20086.6926,19639.4823,20533.9030
kenya,Catch-up 10-35 40%,50_55,14553.2201,14519.9814,14586.4588
kenya,Catch-up 10-35 40%,55_60,9363.4651,9300.0095,9426.9206
kenya,Catch-up 10-35 50%,10_15,14326.5913,14009.3137,14643.8688
kenya,Catch-up 10-35 50%,15_20,24392.6008,23063.0565,25722.1451
kenya,Catch-up 10-35 50%,20_25,31096.9796,30562.1402,31631.8190
kenya,Catch-up 10-35 50%,25_30,30507.7502,29827.8696,31187.6308
kenya,Catch-up 10-35 50%,30_35,28441.6690,27529.1181,29354.2199
kenya,Catch-up 10-35 50%,35_40,34976.0779,34601.3882,35350.7677
kenya,Catch-up 10-35 50%,40_45,28622.9715,28266.4119,28979.5311
kenya,Catch-up 10-35 50%,45_50,20105.5781,20090.4697,20120.6866
kenya,Catch-up 10-35 50%,50_55,14810.0639,14559.2634,15060.8643
kenya,Catch-up 10-35 50%,55_60,9442.7844,9303.7866,9581.7822
kenya,Catch-up 10-35 60%,10_15,13000.8243,12843.6963,13157.9522
kenya,Catch-up 10-35 60%,15_20,19897.8345,19861.5742,19934.0948
kenya,Catch-up 10-35 60%,20_25,26507.7853,26405.0478,26610.5229
kenya,Catch-up 10-35 60%,25_30,27595.5948,27311.5558,27879.6338
kenya,Catch-up 10-35 60%,30_35,26194.2856,25254.5394,27134.0318
kenya,Catch-up 10-35 60%,35_40,34133.7814,33901.1111,34366.4516
