location,coverage,scenario,cohort,value,low,high
kenya,70,No interventions,10_15,90771.5989,89634.6892,92939.6585
kenya,70,No interventions,15_20,89914.1948,89290.9702,91870.7333
kenya,70,No interventions,20_25,79738.6587,78394.0055,81022.8746
kenya,70,No interventions,25_30,69090.9762,68278.8974,69774.6347
kenya,70,No interventions,30_35,56834.2407,54873.9182,58439.5137
kenya,70,No interventions,35_40,45359.3666,44226.2321,47281.9180
kenya,70,No interventions,40_45,35006.2954,32966.6534,35342.4586
kenya,70,No interventions,45_50,23240.5834,22927.0828,24173.5308
kenya,70,No interventions,50_55,15270.8719,15104.6788,15996.0779
kenya,70,No interventions,55_60,9669.4113,9495.6640,9971.5805
kenya,70,Routine vax only,10_15,29314.1814,27708.9077,30133.8153
kenya,70,Routine vax only,15_20,55104.3210,53340.4084,56422.5341
kenya,70,Routine vax only,20_25,57990.0368,57548.1144,58866.3275
kenya,70,Routine vax only,25_30,53215.7642,53083.5651,53684.1263
kenya,70,Routine vax only,30_35,44109.1409,43874.9598,46277.2048
kenya,70,Routine vax only,35_40,37722.0404,36641.7855,38953.3798
kenya,70,Routine vax only,40_45,28528.5435,28256.5913,29012.0143
kenya,70,Routine vax only,45_50,20660.8140,19826.0717,21015.8628
kenya,70,Routine vax only,50_55,14534.3345,13979.0986,14949.8171
kenya,70,Routine vax only,55_60,9291.6998,9114.1755,9559.8750
kenya,70,Catch-up to 30,10_15,12124.5340,11856.3589,12430.4802
kenya,70,Catch-up to 30,15_20,18726.9289,17979.0604,20245.3290
kenya,70,Catch-up to 30,20_25,26198.0619,25193.3494,27486.0579
kenya,70,Catch-up to 30,25_30,31572.8966,31055.4320,32834.4530
kenya,70,Catch-up to 30,30_35,40634.1954,39519.9465,42020.3964
kenya,70,Catch-up to 30,35_40,36279.1826,34723.0113,36977.9488
kenya,70,Catch-up to 30,40_45,28539.8749,27365.1923,28925.1406
kenya,70,Catch-up to 30,45_50,20184.8975,20037.5901,20834.5613
kenya,70,Catch-up to 30,50_55,14594.7684,13586.2788,15134.8957
kenya,70,Catch-up to 30,55_60,9212.3804,9046.1875,9529.6581
kenya,70,Catch-up to 40,10_15,12022.5519,10987.6227,13023.4870
kenya,70,Catch-up to 40,15_20,18081.0424,17057.4444,19505.0145
kenya,70,Catch-up to 40,20_25,25095.1444,23478.5393,25880.7842
kenya,70,Catch-up to 40,25_30,28475.6626,27935.5353,30099.8220
kenya,70,Catch-up to 40,30_35,28876.0374,28048.8492,30307.5639
kenya,70,Catch-up to 40,35_40,28445.4468,27289.6497,29080.0021
kenya,70,Catch-up to 40,40_45,27085.6858,26896.8301,27674.9157
kenya,70,Catch-up to 40,45_50,20082.9155,19576.7822,20966.7603
kenya,70,Catch-up to 40,50_55,14353.0330,13801.5742,15082.0161
kenya,70,Catch-up to 40,55_60,9265.2601,9061.2959,9676.9656
kenya,70,Catch-up to 40 + S&T to 65,10_15,11508.8645,10968.7372,12396.4861
kenya,70,Catch-up to 40 + S&T to 65,15_20,17027.2276,16623.0763,18167.9161
kenya,70,Catch-up to 40 + S&T to 65,20_25,21657.9702,21091.4030,22870.4240
kenya,70,Catch-up to 40 + S&T to 65,25_30,23244.3586,22069.6761,24377.4932
kenya,70,Catch-up to 40 + S&T to 65,30_35,21159.3918,20785.4575,22330.2974
kenya,70,Catch-up to 40 + S&T to 65,35_40,20060.2519,19229.2867,20853.4460
kenya,70,Catch-up to 40 + S&T to 65,40_45,19127.3048,19040.4313,19493.6851
kenya,70,Catch-up to 40 + S&T to 65,45_50,12770.4213,12396.4870,13295.4403
kenya,70,Catch-up to 40 + S&T to 65,50_55,8490.9512,7761.9682,8517.3909
kenya,70,Catch-up to 40 + S&T to 65,55_60,4985.7897,4872.4763,5136.8742
kenya,70,S&T 10-65 only,10_15,29771.2122,28252.8122,30111.1526
kenya,70,S&T 10-65 only,15_20,52796.5039,52037.3038,54522.6455
kenya,70,S&T 10-65 only,20_25,54447.1032,52683.1907,55319.6167
kenya,70,S&T 10-65 only,25_30,46424.5118,45612.4321,47414.1158
kenya,70,S&T 10-65 only,30_35,37638.9433,36951.5083,38719.1980
kenya,70,S&T 10-65 only,35_40,29223.5320,28041.2951,30522.8594
kenya,70,S&T 10-65 only,40_45,20573.9397,20150.9029,21484.2244
kenya,70,S&T 10-65 only,45_50,13291.6632,12959.2771,14084.8572
kenya,70,S&T 10-65 only,50_55,8600.4874,7882.8358,8955.5362
kenya,70,S&T 10-65 only,55_60,4989.5668,4827.1509,5242.6334
