coverage,location,scenario,cohort,value,low,high
30,kenya,No interventions,10_15,92939.6585,92571.0137,93308.3034
30,kenya,No interventions,15_20,90439.2095,89865.0893,91013.3298
30,kenya,No interventions,20_25,79614.0118,78876.7196,80351.3039
30,kenya,No interventions,25_30,69400.7000,69346.3092,69455.0908
30,kenya,No interventions,30_35,57007.9876,55614.9880,58400.9871
30,kenya,No interventions,35_40,46983.5259,45910.8253,48056.2265
30,kenya,No interventions,40_45,35342.4586,35158.1355,35526.7818
30,kenya,No interventions,45_50,23391.6680,22868.9152,23914.4207
30,kenya,No interventions,50_55,15270.8719,15146.9825,15394.7613
30,kenya,No interventions,55_60,9669.4113,9615.0209,9723.8016
30,kenya,Baseline,10_15,28513.4331,27404.4722,29622.3940
30,kenya,Baseline,15_20,53959.8552,52201.2305,55718.4799
30,kenya,Baseline,20_25,57990.0368,57860.1041,58119.9695
30,kenya,Baseline,25_30,53491.4935,53128.8905,53854.0965
30,kenya,Baseline,30_35,45397.1371,44264.0026,46530.2715
30,kenya,Baseline,35_40,37461.4195,37122.9900,37799.8490
30,kenya,Baseline,40_45,28702.2909,28626.7486,28777.8332
30,kenya,Baseline,45_50,20196.2289,19806.4307,20586.0271
30,kenya,Baseline,50_55,14538.1117,14510.9164,14565.3069
30,kenya,Baseline,55_60,9420.1217,9323.4276,9516.8158
30,kenya,Catch-up 10-15: TTV,10_15,24003.5581,23396.1980,24610.9183
30,kenya,Catch-up 10-15: TTV,15_20,52943.8114,52185.3667,53702.2560
30,kenya,Catch-up 10-15: TTV,20_25,57332.8188,56453.5065,58212.1312
30,kenya,Catch-up 10-15: TTV,25_30,51825.7859,51526.6384,52124.9335
30,kenya,Catch-up 10-15: TTV,30_35,45049.6425,43837.9441,46261.3410
30,kenya,Catch-up 10-15: TTV,35_40,38745.6385,38745.6385,38745.6385
30,kenya,Catch-up 10-15: TTV,40_45,29506.8163,29422.2089,29591.4237
30,kenya,Catch-up 10-15: TTV,45_50,20003.5961,19804.1644,20203.0278
30,kenya,Catch-up 10-15: TTV,50_55,14587.2141,14454.2597,14720.1686
30,kenya,Catch-up 10-15: TTV,55_60,9227.4889,9073.3827,9381.5952
30,kenya,Catch-up 10-15: V,10_15,23943.1244,23650.0203,24236.2284
30,kenya,Catch-up 10-15: V,15_20,52256.3764,51618.7994,52893.9534
30,kenya,Catch-up 10-15: V,20_25,57582.1084,56527.5379,58636.6789
30,kenya,Catch-up 10-15: V,25_30,53310.1921,52222.3831,54398.0012
30,kenya,Catch-up 10-15: V,30_35,45540.6675,44196.0146,46885.3203
30,kenya,Catch-up 10-15: V,35_40,38507.6802,38341.4871,38673.8732
30,kenya,Catch-up 10-15: V,40_45,29378.3943,29209.1796,29547.6091
30,kenya,Catch-up 10-15: V,45_50,20324.6508,20098.0239,20551.2777
30,kenya,Catch-up 10-15: V,50_55,14696.7504,14572.8610,14820.6397
30,kenya,Catch-up 10-15: V,55_60,9548.5436,9518.3267,9578.7605
30,kenya,Catch-up 10-15: TT,10_15,30122.4840,28620.7031,31624.2648
30,kenya,Catch-up 10-15: TT,15_20,54352.6751,53095.6513,55609.6989
30,kenya,Catch-up 10-15: TT,20_25,58658.5861,58229.5059,59087.6664
30,kenya,Catch-up 10-15: TT,25_30,53321.5234,52696.0332,53947.0136
30,kenya,Catch-up 10-15: TT,30_35,46745.5671,45814.8859,47676.2482
30,kenya,Catch-up 10-15: TT,35_40,38250.8365,37909.3853,38592.2876
30,kenya,Catch-up 10-15: TT,40_45,29616.3526,29214.4676,30018.2376
30,kenya,Catch-up 10-15: TT,45_50,19833.6259,19449.8711,20217.3808
30,kenya,Catch-up 10-15: TT,50_55,14726.9674,14657.4685,14796.4662
30,kenya,Catch-up 10-15: TT,55_60,9450.3387,9438.2519,9462.4255
30,kenya,Catch-up 10-20: TTV,10_15,22081.0068,22056.8333,22105.1803
30,kenya,Catch-up 10-20: TTV,15_20,40131.8380,40074.4259,40189.2501
30,kenya,Catch-up 10-20: TTV,20_25,55119.4295,54149.4664,56089.3926
30,kenya,Catch-up 10-20: TTV,25_30,50934.3868,50750.0637,51118.7100
30,kenya,Catch-up 10-20: TTV,30_35,44067.5926,43085.5428,45049.6425
30,kenya,Catch-up 10-20: TTV,35_40,36743.7676,36532.2492,36955.2861
30,kenya,Catch-up 10-20: TTV,40_45,28868.4839,28291.3408,29445.6271
30,kenya,Catch-up 10-20: TTV,45_50,19939.3851,19803.4090,20075.3613
30,kenya,Catch-up 10-20: TTV,50_55,14681.6419,14551.7092,14811.5747
30,kenya,Catch-up 10-20: TTV,55_60,9484.3326,9481.3109,9487.3544
30,kenya,Catch-up 10-20: V,10_15,21427.5660,21412.4576,21442.6743
30,kenya,Catch-up 10-20: V,15_20,39221.5532,38333.1759,40109.9306
30,kenya,Catch-up 10-20: V,20_25,56494.2993,55524.3363,57464.2624
30,kenya,Catch-up 10-20: V,25_30,52962.6975,52479.2268,53446.1682
30,kenya,Catch-up 10-20: V,30_35,45287.6008,44665.1323,45910.0693
30,kenya,Catch-up 10-20: V,35_40,39263.1032,39247.9947,39278.2116
30,kenya,Catch-up 10-20: V,40_45,29268.8580,29060.3612,29477.3548
30,kenya,Catch-up 10-20: V,45_50,20056.4757,19911.4344,20201.5169
30,kenya,Catch-up 10-20: V,50_55,14787.4011,14427.8198,15146.9825
30,kenya,Catch-up 10-20: V,55_60,9378.5735,9375.5518,9381.5952
30,kenya,Catch-up 10-20: TT,10_15,27871.3236,27463.3952,28279.2520
30,kenya,Catch-up 10-20: TT,15_20,53804.9936,53638.8005,53971.1866
30,kenya,Catch-up 10-20: TT,20_25,57759.6328,57499.7673,58019.4983
30,kenya,Catch-up 10-20: TT,25_30,53030.6856,52100.0045,53961.3666
30,kenya,Catch-up 10-20: TT,30_35,44823.0157,43786.5754,45859.4561
30,kenya,Catch-up 10-20: TT,35_40,37620.0583,37462.9303,37777.1862
30,kenya,Catch-up 10-20: TT,40_45,28845.8212,28171.9839,29519.6584
30,kenya,Catch-up 10-20: TT,45_50,20237.7771,19893.3043,20582.2499
30,kenya,Catch-up 10-20: TT,50_55,14489.0092,14464.8356,14513.1827
30,kenya,Catch-up 10-20: TT,55_60,9371.0192,9198.7828,9543.2556
30,kenya,Catch-up 10-25: TTV,10_15,20060.2506,19924.2745,20196.2267
30,kenya,Catch-up 10-25: TTV,15_20,36082.7709,35366.6300,36798.9118
30,kenya,Catch-up 10-25: TTV,20_25,43463.2534,43248.7133,43677.7935
30,kenya,Catch-up 10-25: TTV,25_30,49823.9151,48938.5594,50709.2709
30,kenya,Catch-up 10-25: TTV,30_35,44724.8107,43712.5439,45737.0775
30,kenya,Catch-up 10-25: TTV,35_40,38654.9877,38540.1635,38769.8120
30,kenya,Catch-up 10-25: TTV,40_45,28645.6341,28530.8098,28760.4584
30,kenya,Catch-up 10-25: TTV,45_50,19882.7284,19761.8607,20003.5960
30,kenya,Catch-up 10-25: TTV,50_55,14749.6300,14704.3046,14794.9554
30,kenya,Catch-up 10-25: TTV,55_60,9348.3566,9321.1614,9375.5518
30,kenya,Catch-up 10-25: V,10_15,20339.7571,20240.0412,20439.4729
30,kenya,Catch-up 10-25: V,15_20,35640.8484,34111.8724,37169.8245
30,kenya,Catch-up 10-25: V,20_25,43859.8503,42911.0391,44808.6615
30,kenya,Catch-up 10-25: V,25_30,49706.8246,48564.6250,50849.0241
30,kenya,Catch-up 10-25: V,30_35,44260.2256,43269.1106,45251.3405
30,kenya,Catch-up 10-25: V,35_40,36773.9846,36604.7698,36943.1993
30,kenya,Catch-up 10-25: V,40_45,29046.0083,28653.1883,29438.8282
30,kenya,Catch-up 10-25: V,45_50,20011.1503,19696.8943,20325.4063
30,kenya,Catch-up 10-25: V,50_55,14912.0460,14664.2673,15159.8247
30,kenya,Catch-up 10-25: V,55_60,9514.5496,9463.1808,9565.9183
30,kenya,Catch-up 10-25: TT,10_15,28830.7108,27685.4896,29975.9320
30,kenya,Catch-up 10-25: TT,15_20,53261.0890,51692.8310,54829.3470
30,kenya,Catch-up 10-25: TT,20_25,55553.7978,55493.3640,55614.2317
30,kenya,Catch-up 10-25: TT,25_30,52146.8406,51699.6302,52594.0511
30,kenya,Catch-up 10-25: TT,30_35,45264.9381,44521.6019,46008.2743
30,kenya,Catch-up 10-25: TT,35_40,37941.1130,37756.7899,38125.4362
30,kenya,Catch-up 10-25: TT,40_45,28770.2789,28658.4764,28882.0815
30,kenya,Catch-up 10-25: TT,45_50,19894.0597,19800.3872,19987.7321
30,kenya,Catch-up 10-25: TT,50_55,14927.1544,14727.7228,15126.5861
30,kenya,Catch-up 10-25: TT,55_60,9495.6640,9489.6206,9501.7074
30,kenya,Catch-up 10-30: TTV,10_15,19924.2744,19921.2527,19927.2961
30,kenya,Catch-up 10-30: TTV,15_20,33302.8144,32471.8492,34133.7797
30,kenya,Catch-up 10-30: TTV,20_25,39640.8131,38713.1537,40568.4725
30,kenya,Catch-up 10-30: TTV,25_30,40524.6585,39766.2138,41283.1031
30,kenya,Catch-up 10-30: TTV,30_35,42315.0114,41345.0484,43284.9745
30,kenya,Catch-up 10-30: TTV,35_40,36902.4065,36854.0594,36950.7535
30,kenya,Catch-up 10-30: TTV,40_45,28679.6282,28386.5241,28972.7323
30,kenya,Catch-up 10-30: TTV,45_50,19890.2827,19437.0289,20343.5364
30,kenya,Catch-up 10-30: TTV,50_55,14583.4369,14417.2439,14749.6300
30,kenya,Catch-up 10-30: TTV,55_60,9393.6820,9324.1831,9463.1808
30,kenya,Catch-up 10-30: V,10_15,19554.1173,19345.6205,19762.6140
30,kenya,Catch-up 10-30: V,15_20,35096.9439,34462.3887,35731.4992
30,kenya,Catch-up 10-30: V,20_25,41922.1905,41568.6525,42275.7284
30,kenya,Catch-up 10-30: V,25_30,42775.8190,41485.5566,44066.0814
30,kenya,Catch-up 10-30: V,30_35,43606.7848,42334.6524,44878.9171
30,kenya,Catch-up 10-30: V,35_40,37038.3826,36693.9098,37382.8555
30,kenya,Catch-up 10-30: V,40_45,29038.4541,28663.7643,29413.1439
30,kenya,Catch-up 10-30: V,45_50,20279.3255,19732.3992,20826.2517
30,kenya,Catch-up 10-30: V,50_55,14753.4072,14753.4072,14753.4072
30,kenya,Catch-up 10-30: V,55_60,9386.1277,9322.6722,9449.5832
30,kenya,Catch-up 10-30: TT,10_15,30213.1347,29992.5512,30433.7182
30,kenya,Catch-up 10-30: TT,15_20,53117.5587,51923.9904,54311.1270
30,kenya,Catch-up 10-30: TT,20_25,58058.0249,57704.4870,58411.5629
30,kenya,Catch-up 10-30: TT,25_30,50824.8504,50135.9047,51513.7961
30,kenya,Catch-up 10-30: TT,30_35,43765.4235,42378.4669,45152.3801
30,kenya,Catch-up 10-30: TT,35_40,38190.4026,38187.3809,38193.4242
30,kenya,Catch-up 10-30: TT,40_45,28921.3634,28779.3439,29063.3829
30,kenya,Catch-up 10-30: TT,45_50,19712.7582,19637.2159,19788.3005
30,kenya,Catch-up 10-30: TT,50_55,14719.4131,14625.7407,14813.0856
30,kenya,Catch-up 10-30: TT,55_60,9363.4650,9197.2720,9529.6581
30,kenya,Catch-up 10-35: TTV,10_15,19765.6357,18831.9330,20699.3385
30,kenya,Catch-up 10-35: TTV,15_20,34005.3577,32636.5314,35374.1841
30,kenya,Catch-up 10-35: TTV,20_25,38972.2638,38071.7997,39872.7280
30,kenya,Catch-up 10-35: TTV,25_30,37661.6055,36691.6423,38631.5686
30,kenya,Catch-up 10-35: TTV,30_35,34609.6973,33984.2071,35235.1875
30,kenya,Catch-up 10-35: TTV,35_40,35682.3984,35238.2097,36126.5871
30,kenya,Catch-up 10-35: TTV,40_45,28094.1754,27338.7525,28849.5983
30,kenya,Catch-up 10-35: TTV,45_50,19421.9205,19337.3131,19506.5278
30,kenya,Catch-up 10-35: TTV,50_55,14538.1116,14275.2244,14800.9988
